country,Homophily,Continent,V1,Score,Homophily.ce,Homophily.ci
Antigua and Barbuda,0.706274810915928,NORTH AMERICA,52,17,0.706274810915928,0.837292836107657
Argentina,0.741796058470874,SOUTH AMERICA,696,43,0.743293310990085,0.754701137344916
Australia,0.264486902922599,OCEANIA,22077,70,0.199425788364843,0.291117731888424
Austria,0.481145781257036,EUROPE,3292,57,0.369029334344885,0.514776784905322
Bangladesh,0.940237657503021,ASIA,270,31,0.918728294843592,0.939320960533641
Belgium,0.489790838791732,EUROPE,17396,68,0.338606312289024,0.512964528200947
Bhutan,0.557322795484255,ASIA,1507,52,0.545887864777883,0.648024829443265
Brazil,0.421176932800546,SOUTH AMERICA,2222,53,0.391759571483394,0.473829452475724
Bulgaria,0.843336950827856,EUROPE,404,37,0.741462597918271,0.888507218699853
Cambodia,1,ASIA,28,9,1,1
Canada,0.173338085652375,NORTH AMERICA,28926,72,0.156702372238107,0.191424010001249
Chile,0.599490058839252,SOUTH AMERICA,393,34,0.604681674675387,0.624734622356003
China,0.475058563373521,ASIA,2424,56,0.461668480038299,0.542852454920215
Colombia,1,SOUTH AMERICA,28,11,1,1
Costa Rica,0.822816179864442,NORTH AMERICA,125,23,0.822816179864442,
Croatia,0.84706900042379,EUROPE,117,24,0.837292836107657,0.84706900042379
Cuba,1,NORTH AMERICA,70,17,1,
Czech Republic,0.652870687850492,EUROPE,5403,64,0.652870687850492,0.721652972430296
Denmark,0.53286683514658,EUROPE,3582,60,0.509164703392046,0.551135764266688
Egypt,0.541986469215061,AFRICA,198,27,0.541986469215061,0.837292836107657
Ethiopia,1,AFRICA,26,8,1,1
Finland,0.81642047339466,EUROPE,10949,66,0.595229800660968,0.832783355975747
France,0.327521405728252,EUROPE,56252,74,0.20414627750768,0.341463758383209
Germany,0.241665582639597,EUROPE,90347,76,0.211216688552199,0.249153992088006
Greece,0.734224269796663,EUROPE,859,50,0.734224269796663,
Hungary,0.53593866471557,EUROPE,4580,62,0.477610271893236,0.678785645742947
Iceland,0.872086022284672,EUROPE,40,13,0.872086022284672,1
India,0.431146730523108,ASIA,5391,65,0.356187408905727,0.488020321582055
Indonesia,0.682401324539751,ASIA,239,28,0.682401324539751,1
Iran,0.719170289350619,ASIA,42,15,0.719170289350619,
Iraq,0.79644505181363,ASIA,44,15,0.757089736457408,1
Ireland,0.455681980262551,EUROPE,772,48,0.412738520401846,0.47987083376783
Israel,0.435007856194327,ASIA,18795,69,0.292547416507198,0.451593024002726
Italy,0.220862921675294,EUROPE,48961,73,0.192323181493927,0.234085268397519
Jamaica,0.822816179864442,NORTH AMERICA,405,36,0.822816179864442,
Japan,0.394363412860294,ASIA,238271,78,0.218779268883134,0.399750191913266
Kenya,1,AFRICA,52,16,1,1
Kuwait,0.872086022284672,ASIA,34,12,0.872086022284672,1
Latvia,0.822816179864442,EUROPE,10,6,0.822816179864442,
Luxembourg,1,ASIA,4,3,1,
Malaysia,0.85625464271592,ASIA,62,18,0.837292836107657,0.85625464271592
Mauritius,0.837292836107657,AFRICA,243,29,0.837292836107657,1
Mexico,0.517270970104902,NORTH AMERICA,3276,59,0.445490909860148,0.556330526134761
Myanmar,1,ASIA,3,2,1,
Netherlands,0.251931842561601,EUROPE,22263,71,0.22147254395334,0.262707886059449
New Zealand,0.511181178493877,OCEANIA,1278,51,0.454223165618203,0.568150452000181
Nigeria,0.862996447371246,AFRICA,496,41,0.83664925825756,1
Norway,0.661724527760371,EUROPE,3354,61,0.727341479283941,0.680394767141055
Pakistan,0.613858794271852,ASIA,653,44,0.516662838651884,0.656393116689456
Peru,1,SOUTH AMERICA,24,10,1,
Philippines,1,ASIA,250,33,1,
Poland,0.509536844599041,EUROPE,2279,54,0.446718881182732,0.586603347250645
Portugal,0.624210065044211,EUROPE,466,40,0.571324664503377,0.723793130790673
Puerto Rico,0.62469947471928,NORTH AMERICA,448,39,0.628973894607593,0.673546636864189
Russia,0.85625464271592,EUROPE,4043,63,0.85625464271592,1
Singapore,0.654575476984134,ASIA,466,38,0.548313190228496,0.766831940238252
Slovakia,1,EUROPE,299,32,1,1
Slovenia,0.77477628375574,EUROPE,637,45,0.708859364375225,0.798746096868868
South Africa,0.452748232536814,AFRICA,2625,55,0.460271172102888,0.495524178787685
South Korea,0.582755574895953,,913,49,0.531950482251031,0.689996806620903
Spain,0.523770515522763,EUROPE,3499,58,0.513905637658677,0.565001555814487
Sri Lanka,0.822816179864442,ASIA,357,30,0.822816179864442,
Sudan,1,AFRICA,13,5,1,1
Sweden,0.65523322588478,EUROPE,15078,67,0.427465549300425,0.66897466735793
Switzerland,0.226148520014908,EUROPE,58045,75,0.225803537862155,0.240658611366652
Thailand,0.701300732607731,ASIA,354,35,0.674585672215314,0.757089736457408
Turkey,0.647798720476021,ASIA,176,26,0.618055636120734,0.757089736457408
UK,0.17564729899142,EUROPE,105942,77,0.115025518400503,0.186687381473993
USA,0.0519992810907739,NORTH AMERICA,814039,79,0.0521283448633682,0.0527616726850001
United Arab Emirates,0.754801277164909,ASIA,510,42,0.742789200230187,0.780972403830305
Venezuela,0.598889642513392,SOUTH AMERICA,66,19,0.571324664503377,0.73512456767726
Zambia,1,AFRICA,74,22,1,1
